#,Open_Time,Direction,Entry_Price,Stop_Loss,Take_Profit,RR,Balance_Before,Risk_Amount,Position_Size,Close_Time,Balance_After,Profit,Result
1,2023-08-18 17:20:00,Long,1.08704,1.08704,1.08704,2,10000,100,,2023-08-18 17:20:00,10200,200,Win
2,2023-08-21 12:20:00,Long,1.09003,1.08996,1.09017,2,10200,100,,2023-08-21 12:20:00,10400,200,Win
3,2023-08-22 12:35:00,Long,1.08803,1.08757,1.0889500000000003,2,10400,100,,2023-08-22 12:35:00,10300,-100,Lose
4,2023-08-23 12:25:00,Long,1.08056,1.08044,1.0807999999999998,2,10300,100,,2023-08-23 12:25:00,10300,0,BreakEven
5,2023-08-24 11:40:00,Long,1.08496,1.08496,1.08496,2,10300,100,,2023-08-24 11:40:00,10500,200,Win
6,2023-08-25 14:25:00,Long,1.07902,1.07899,1.0790800000000005,2,10500,100,,2023-08-25 14:25:00,10700,200,Win
7,2023-08-28 15:15:00,Long,1.08053,1.08047,1.0806499999999999,2,10700,100,,2023-08-28 15:15:00,10900,200,Win
8,2023-08-29 08:15:00,Long,1.08118,1.08118,1.08118,2,10900,100,,2023-08-29 08:15:00,11100,200,Win
9,2023-08-30 15:00:00,Long,1.09268,1.09262,1.0928000000000004,2,11100,100,,2023-08-30 15:00:00,11300,200,Win
10,2023-08-31 11:30:00,Long,1.08621,1.08617,1.0862899999999995,2,11300,100,,2023-08-31 11:30:00,11500,200,Win
11,2023-09-04 18:55:00,Long,1.07953,1.07953,1.07953,2,11500,100,,2023-09-04 18:55:00,11700,200,Win
12,2023-09-05 13:55:00,Long,1.0729,1.07258,1.0735399999999997,2,11700,100,,2023-09-05 13:55:00,11600,-100,Lose
13,2023-09-06 09:15:00,Long,1.07284,1.07274,1.07304,2,11600,100,,2023-09-06 09:15:00,11800,200,Win
14,2023-09-07 17:35:00,Long,1.07046,1.07043,1.07052,2,11800,100,,2023-09-07 17:35:00,12000,200,Win
15,2023-09-08 11:20:00,Long,1.0698,1.0698,1.0698,2,12000,100,,2023-09-08 11:20:00,12200,200,Win
16,2023-09-11 15:45:00,Long,1.07428,1.07412,1.0745999999999998,2,12200,100,,2023-09-11 15:45:00,12100,-100,Lose
17,2023-09-12 16:55:00,Long,1.07232,1.07215,1.07266,2,12100,100,,2023-09-12 16:55:00,12000,-100,Lose
18,2023-09-13 15:35:00,Long,1.07343,1.07336,1.0735700000000001,2,12000,100,,2023-09-13 15:35:00,12200,200,Win
19,2023-09-15 10:20:00,Long,1.06641,1.0664,1.0664300000000002,2,12200,100,,2023-09-15 10:20:00,12400,200,Win
20,2023-09-18 17:50:00,Long,1.06895,1.06894,1.0689700000000002,2,12400,100,,2023-09-18 17:50:00,12600,200,Win
21,2023-09-19 09:35:00,Long,1.0684,1.0684,1.0684,2,12600,100,,2023-09-19 09:35:00,12800,200,Win
22,2023-09-20 11:45:00,Short,1.0704,1.0704,1.0704,2,12800,100,,2023-09-20 11:45:00,13000,200,Win
23,2023-09-21 09:55:00,Long,1.06534,1.06514,1.06574,2,13000,100,,2023-09-21 09:55:00,12900,-100,Lose
24,2023-09-22 16:00:00,Long,1.06588,1.06585,1.0659399999999999,2,12900,100,,2023-09-22 16:00:00,13100,200,Win
25,2023-09-26 10:20:00,Long,1.05977,1.0597,1.0599100000000001,2,13100,100,,2023-09-26 10:20:00,13100,0,BreakEven
26,2023-09-27 08:15:00,Long,1.05659,1.05626,1.0572499999999998,2,13100,100,,2023-09-27 08:15:00,13000,-100,Lose
27,2023-09-28 12:10:00,Long,1.0536,1.05344,1.0539200000000004,2,13000,100,,2023-09-28 12:10:00,13000,0,BreakEven
28,2023-09-29 10:25:00,Long,1.06092,1.0607,1.0613600000000003,2,13000,100,,2023-09-29 10:25:00,12900,-100,Lose
29,2023-10-04 11:50:00,Long,1.05024,1.05024,1.05024,2,12900,100,,2023-10-04 11:50:00,13100,200,Win
30,2023-10-05 09:55:00,Long,1.05077,1.05075,1.0508099999999998,2,13100,100,,2023-10-05 09:55:00,13300,200,Win
31,2023-10-06 11:05:00,Long,1.05521,1.05513,1.0553700000000001,2,13300,100,,2023-10-06 11:05:00,13500,200,Win
32,2023-10-09 11:55:00,Long,1.05282,1.05268,1.0531000000000001,2,13500,100,,2023-10-09 11:55:00,13500,0,BreakEven
33,2023-10-10 10:20:00,Long,1.05948,1.05946,1.0595199999999998,2,13500,100,,2023-10-10 10:20:00,13700,200,Win
34,2023-10-11 10:00:00,Long,1.06054,1.06018,1.0612600000000003,2,13700,100,,2023-10-11 10:00:00,13600,-100,Lose
35,2023-10-12 10:45:00,Long,1.06194,1.06187,1.0620800000000001,2,13600,100,,2023-10-12 10:45:00,13800,200,Win
36,2023-10-16 08:15:00,Long,1.05241,1.05235,1.0525300000000004,2,13800,100,,2023-10-16 08:15:00,14000,200,Win
37,2023-10-17 16:45:00,Long,1.0584,1.05806,1.05908,2,14000,100,,2023-10-17 16:45:00,13900,-100,Lose
38,2023-10-19 09:25:00,Long,1.0538,1.05367,1.05406,2,13900,100,,2023-10-19 09:25:00,13800,-100,Lose
39,2023-10-20 11:30:00,Short,1.05919,1.05923,1.0591100000000004,2,13800,100,,2023-10-20 11:30:00,14000,200,Win
40,2023-10-23 09:50:00,Long,1.05953,1.05907,1.0604500000000003,2,14000,100,,2023-10-23 09:50:00,13900,-100,Lose
41,2023-10-24 12:20:00,Long,1.06279,1.06237,1.0636299999999996,2,13900,100,,2023-10-24 12:20:00,13800,-100,Lose
42,2023-10-25 08:55:00,Long,1.0585,1.05834,1.0588199999999999,2,13800,100,,2023-10-25 08:55:00,13700,-100,Lose
43,2023-10-26 10:00:00,Long,1.05466,1.0545,1.0549799999999998,2,13700,100,,2023-10-26 10:00:00,13600,-100,Lose
44,2023-10-27 10:30:00,Long,1.05583,1.05573,1.05603,2,13600,100,,2023-10-27 10:30:00,13500,-100,Lose
45,2023-10-30 14:30:00,Long,1.05964,1.05909,1.0607399999999996,2,13500,100,,2023-10-30 14:30:00,13400,-100,Lose
46,2023-11-01 13:00:00,Long,1.05367,1.05334,1.0543300000000004,2,13400,100,,2023-11-01 13:00:00,13300,-100,Lose
47,2023-11-02 08:05:00,Long,1.05929,1.0591,1.0596700000000003,2,13300,100,,2023-11-02 08:05:00,13500,200,Win
48,2023-11-03 14:40:00,Long,1.07025,1.06994,1.07087,2,13500,100,,2023-11-03 14:40:00,13700,200,Win
49,2023-11-06 09:50:00,Long,1.07468,1.07435,1.0753400000000004,2,13700,100,,2023-11-06 09:50:00,13600,-100,Lose
50,2023-11-07 09:15:00,Long,1.06947,1.06924,1.0699299999999998,2,13600,100,,2023-11-07 09:15:00,13500,-100,Lose
51,2023-11-09 16:15:00,Long,1.07111,1.07105,1.07123,2,13500,100,,2023-11-09 16:15:00,13700,200,Win
52,2023-11-10 10:20:00,Long,1.0671,1.06692,1.0674599999999996,2,13700,100,,2023-11-10 10:20:00,13600,-100,Lose
53,2023-11-13 11:15:00,Long,1.06885,1.06885,1.06885,2,13600,100,,2023-11-13 11:15:00,13800,200,Win
54,2023-11-14 19:05:00,Long,1.08692,1.08678,1.0872000000000002,2,13800,100,,2023-11-14 19:05:00,13800,0,BreakEven
55,2023-11-15 13:35:00,Long,1.08512,1.08506,1.0852400000000004,2,13800,100,,2023-11-15 13:35:00,14000,200,Win
56,2023-11-17 11:45:00,Long,1.08653,1.08598,1.08763,2,14000,100,,2023-11-17 11:45:00,13900,-100,Lose
57,2023-11-20 10:25:00,Long,1.09264,1.09226,1.0934000000000001,2,13900,100,,2023-11-20 10:25:00,13800,-100,Lose
58,2023-11-21 08:20:00,Long,1.09537,1.09506,1.09599,2,13800,100,,2023-11-21 08:20:00,13700,-100,Lose
59,2023-11-22 10:30:00,Long,1.08966,1.0896,1.0897800000000004,2,13700,100,,2023-11-22 10:30:00,13900,200,Win
60,2023-11-23 08:15:00,Long,1.09076,1.08955,1.0931799999999998,2,13900,100,,2023-11-23 08:15:00,13800,-100,Lose
61,2023-11-24 08:15:00,Long,1.09054,1.09052,1.0905800000000003,2,13800,100,,2023-11-24 08:15:00,14000,200,Win
62,2023-11-27 08:00:00,Long,1.09451,1.09451,1.09451,2,14000,100,,2023-11-27 08:00:00,14200,200,Win
63,2023-11-28 10:50:00,Long,1.0948,1.09465,1.0951000000000002,2,14200,100,,2023-11-28 10:50:00,14100,-100,Lose
64,2023-11-29 15:10:00,Long,1.09721,1.09658,1.0984699999999998,2,14100,100,,2023-11-29 15:10:00,14000,-100,Lose
65,2023-11-30 16:30:00,Long,1.09056,1.09037,1.0909399999999998,2,14000,100,,2023-11-30 16:30:00,14200,200,Win
66,2023-12-01 12:45:00,Long,1.08813,1.08808,1.0882300000000003,2,14200,100,,2023-12-01 12:45:00,14400,200,Win
67,2023-12-04 18:35:00,Long,1.08181,1.08152,1.0823899999999997,2,14400,100,,2023-12-04 18:35:00,14300,-100,Lose
68,2023-12-05 14:30:00,Long,1.08166,1.08143,1.0821200000000004,2,14300,100,,2023-12-05 14:30:00,14200,-100,Lose
69,2023-12-06 11:10:00,Long,1.07873,1.07867,1.0788499999999999,2,14200,100,,2023-12-06 11:10:00,14400,200,Win
